==43386== NVPROF is profiling process 43386, command: ./BFS -s 1
==43386== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==43386== Profiling application: ./BFS -s 1
==43386== Profiling result:
==43386== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"half_precision_fu_utilization","Half-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"flop_hp_efficiency","FLOP Efficiency(Peak Half)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"pcie_total_data_transmitted","PCIe Total Data Transmitted",0,512,174
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"pcie_total_data_received","PCIe Total Data Received",0,512,51
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_global_loads","Warp level instructions for global loads",1004,2956,1400
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_local_loads","Warp level instructions for local loads",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_shared_loads","Warp level instructions for shared loads",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_surface_loads","Warp level instructions for surface loads",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_global_stores","Warp level instructions for global stores",2,978,200
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_local_stores","Warp level instructions for local stores",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_shared_stores","Warp level instructions for shared stores",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_surface_stores","Warp level instructions for surface stores",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_global_atomics","Warp level instructions for global atom and atom cas",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_global_reductions","Warp level instructions for global reductions",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_surface_atomics","Warp level instructions for surface atom and atom cas",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_surface_reductions","Warp level instructions for surface reductions",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_shared_atomics","Warp level shared instructions for atom and atom CAS",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"inst_executed_tex_ops","Warp level instructions for texture",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"l2_global_load_bytes","Bytes read from L2 for misses in Unified Cache for global loads",4096,19040,7469
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"l2_local_load_bytes","Bytes read from L2 for misses in Unified Cache for local loads",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"l2_surface_load_bytes","Bytes read from L2 for misses in Unified Cache for surface loads",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"dram_read_bytes","Total bytes read from DRAM to L2 cache",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"dram_write_bytes","Total bytes written from L2 cache to DRAM",0,128,46
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"l2_local_global_store_bytes","Bytes written to L2 from Unified Cache for local and global stores.",0,17632,3596
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"l2_global_reduction_bytes","Bytes written to L2 from Unified cache for global reductions",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"l2_global_atomic_store_bytes","Bytes written to L2 from Unified cache for global atomics",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"l2_surface_store_bytes","Bytes written to L2 from Unified Cache for surface stores.",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"l2_surface_reduction_bytes","Bytes written to L2 from Unified Cache for surface reductions",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"l2_surface_atomic_store_bytes","Bytes transferred between Unified Cache and L2 for surface atomics",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"global_load_requests","Total number of global load requests from Multiprocessor",4010,8890,5000
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"local_load_requests","Total number of local load requests from Multiprocessor",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"surface_load_requests","Total number of surface load requests from Multiprocessor",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"global_store_requests","Total number of global store requests from Multiprocessor",0,490,100
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"local_store_requests","Total number of local store requests from Multiprocessor",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"surface_store_requests","Total number of surface store requests from Multiprocessor",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"global_atomic_requests","Total number of global atomic requests from Multiprocessor",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"global_reduction_requests","Total number of global reduction requests from Multiprocessor",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"surface_atomic_requests","Total number of surface atomic requests from Multiprocessor",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"surface_reduction_requests","Total number of surface reduction requests from Multiprocessor",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"sysmem_read_bytes","System Memory Read Bytes",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"sysmem_write_bytes","System Memory Write Bytes",160,160,160
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"l2_tex_hit_rate","L2 Cache Hit Rate",98.859649%,100.000000%,99.936445%
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"texture_load_requests","Total number of texture Load requests from Multiprocessor",0,0,0
"Tesla P100-SXM2-16GB (2)","BFS_kernel_warp(unsigned int*, unsigned int*, unsigned int*, int, int, unsigned int, int, int*)",100,"unique_warps_launched","Number of warps launched",32,32,32
